Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g),Surface per 1kg (m²/kg),Value per square meter (EUR/m²)
Apple,Malum minor,Arid,High,192,4.11,250.8,0.7,0.93,5.06
Banana,Musa genuina,Arid,Low,291,1.33,151.9,0.8,0.75,4.5
Mango,Mangifera latifolia,Mediterranean,Moderate,97,0.71,78.8,3.2,0.95,6.56
Orange,Citrus fixa,Polar,Low,221,0.95,373.3,8.6,0.36,9.25
Peach,Prunus indica,Arid,High,83,0.11,318.2,6.5,1.92,4.17
Pear,Pyrus latifolia,Tropical,Moderate,273,1.81,83.7,5.9,1.63,8.98
Papaya,Carica vulgaris,Mediterranean,Moderate,44,3.86,286.5,0.9,1.54,5.87
Pineapple,Ananas indica,Tropical,Low,145,4.02,65.9,0.7,0.63,9.3
Watermelon,Citrullus indica,Temperate,Moderate,287,1.21,70.6,2.4,1.83,1.03
Cucumber,Cucumis genuina,Temperate,Low,40,2.39,174.5,4.6,0.74,4.1
Tomato,Tomato major,Temperate,Moderate,94,0.34,266.8,4.8,1.09,5.1
Avocado,Avocado vulgaris,Mediterranean,High,168,3.49,222.9,4.4,0.68,8.12
Spinach,Spinach fixa,Temperate,Moderate,284,0.67,53.5,5.1,0.26,2.52
Kale,Kale sapiens,Temperate,Moderate,360,0.58,328.7,3.5,1.77,7.34
Lettuce,Lettuce sapiens,Arid,Low,174,3.17,193.5,4.4,1.3,3.62
Swiss Chard,Swiss chard major,Mediterranean,Low,324,2.35,107.2,3.4,0.89,3.18
Beet Greens,Beet greens sapiens,Arid,Low,327,2.25,108.7,4.8,1.35,2.21
Radish,Radish major,Polar,Moderate,117,1.86,186.5,7.5,0.76,7.65
Carrot,Carrot minor,Mediterranean,High,304,3.76,107.3,7.0,1.43,7.24
Broccoli,Broccoli latifolia,Arid,Moderate,85,3.25,391.2,7.3,0.95,4.43
Cauliflower,Cauliflower fixa,Mediterranean,High,119,4.51,147.9,4.7,0.84,4.17
Cabbage,Cabbage sapiens,Polar,Moderate,306,1.67,225.2,8.4,1.48,9.87
Brussels Sprouts,Brussels sprouts sapiens,Temperate,Moderate,342,3.54,134.2,3.3,0.88,6.39
Zucchini,Zucchini indica,Polar,High,262,0.32,213.5,0.5,0.85,3.11
Squash,Squash genuina,Mediterranean,High,311,1.7,119.4,9.7,0.73,4.39
Pumpkin,Pumpkin sapiens,Tropical,Low,253,3.17,184.2,4.0,0.63,1.62
Sweet Potato,Sweet potato genuina,Mediterranean,High,66,3.4,361.7,4.0,1.95,9.47
Potato,Potato minor,Temperate,Moderate,135,2.43,64.8,1.7,1.56,4.66
Corn,Corn sapiens,Temperate,High,309,3.77,289.5,6.2,1.63,4.98
