Name,Latin Name,Growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Apple,Malum vulgaris,Temperate,Moderate,83,3.04,256.9,7.9
Banana,Musa minor,Mediterranean,High,181,4.85,26.1,7.9
Mango,Mangifera vulgaris,Arid,Moderate,352,2.38,263.5,2.0
Orange,Citrus latifolia,Tropical,Moderate,296,4.7,13.4,9.2
Peach,Prunus sapiens,Polar,Low,182,0.26,286.1,7.2
Pear,Pyrus major,Tropical,Low,106,4.36,317.6,2.7
Papaya,Carica major,Arid,Low,91,3.3,255.6,1.4
Pineapple,Ananas indica,Polar,Low,281,0.69,43.2,7.8
Watermelon,Citrullus indica,Arid,Moderate,44,2.54,346.6,6.1
Cucumber,Cucumis major,Mediterranean,High,314,4.15,113.6,7.4
Tomato,Tomato fixa,Arid,High,159,3.23,251.0,2.0
Avocado,Avocado minor,Mediterranean,High,82,4.32,361.2,8.8
Spinach,Spinach latifolia,Mediterranean,High,278,0.51,236.1,8.6
Kale,Kale indica,Arid,Low,275,0.48,207.4,4.7
Lettuce,Lettuce minor,Polar,High,97,0.53,202.8,0.9
Swiss Chard,Swiss chard fixa,Arid,Moderate,146,4.41,48.1,5.2
Beet Greens,Beet greens vulgaris,Polar,Low,45,2.52,74.0,1.5
Radish,Radish genuina,Arid,High,312,0.9,301.5,8.4
Carrot,Carrot sapiens,Tropical,Low,94,2.25,260.9,9.9
Broccoli,Broccoli vulgaris,Tropical,High,337,2.47,376.1,6.1
Cauliflower,Cauliflower vulgaris,Mediterranean,High,77,3.2,53.2,3.2
Cabbage,Cabbage latifolia,Arid,Moderate,181,1.98,236.7,2.3
Brussels Sprouts,Brussels sprouts minor,Mediterranean,Moderate,231,4.03,192.9,4.1
Zucchini,Zucchini major,Temperate,Low,217,0.55,150.2,8.0
Squash,Squash indica,Arid,High,108,1.72,78.8,1.3
Pumpkin,Pumpkin latifolia,Tropical,Low,62,0.3,357.8,4.2
Sweet Potato,Sweet potato major,Temperate,High,86,1.17,180.2,5.2
Potato,Potato latifolia,Polar,Moderate,76,0.52,159.5,9.6
Corn,Corn sapiens,Arid,High,210,2.58,61.0,1.2
Rice,Rice minor,Tropical,Low,130,0.69,224.5,8.0
Wheat,Wheat vulgaris,Temperate,High,239,2.93,83.6,3.6
Barley,Barley major,Tropical,Low,288,2.59,53.7,2.0
